Scenario,Method,Mean_Estimate,Bias,RMSE,Std
A_Unconditional_Parallel_Trend,PSM,2.0099835096526233,0.00998350965262329,0.12743276112231045,0.12716832036982786
A_Unconditional_Parallel_Trend,DID,1.9994104422006083,-0.0005895577993917378,0.08804930937920118,0.08813551521287624
A_Unconditional_Parallel_Trend,DID_X,1.9992699094606294,-0.0007300905393705648,0.09388107184287013,0.0939722522159789
A_Unconditional_Parallel_Trend,PSM_DID,1.9925237704767695,-0.00747622952323046,0.13393953951211127,0.13386465451450943
B_Conditional_Parallel_Trend,PSM,1.9929234388478125,-0.007076561152187466,0.13492840485387797,0.13487765078036992
B_Conditional_Parallel_Trend,DID,2.697291574430023,0.697291574430023,0.7062355277298591,0.11215274107856063
B_Conditional_Parallel_Trend,DID_X,2.0008035836796525,0.0008035836796524976,0.0953790695264435,0.09547120329354068
B_Conditional_Parallel_Trend,PSM_DID,1.9969841307719263,-0.003015869228073731,0.13035540338144494,0.13045102784136323
C_Unobserved_Time_Varying_Confounding,PSM,3.691385229486031,1.691385229486031,1.7042968186067788,0.2095984599621681
C_Unobserved_Time_Varying_Confounding,DID,3.357431017692442,1.3574310176924418,1.3629716836368366,0.12289446163149476
C_Unobserved_Time_Varying_Confounding,DID_X,2.9290971211479326,0.9290971211479326,0.9360315193454544,0.11383963988876535
C_Unobserved_Time_Varying_Confounding,PSM_DID,2.9226700778517114,0.9226700778517114,0.935933816297853,0.15716691383554562
